model_type,learning_rate,hidden_size,batch_size,pooling_style,accuracy
fast_text,0.001,128,32,max,0.461111111
fast_text,0.001,128,32,avg,0.647222222
fast_text,0.001,128,64,max,0.352777778
fast_text,0.001,128,64,avg,0.597222222
fast_text,0.001,128,128,max,0.291666667
fast_text,0.001,128,128,avg,0.508333333
fast_text,0.001,256,32,max,0.533333333
fast_text,0.001,256,32,avg,0.708333333
fast_text,0.001,256,64,max,0.502777778
fast_text,0.001,256,64,avg,0.655555556
fast_text,0.001,256,128,max,0.452777778
fast_text,0.001,256,128,avg,0.597222222
fast_text,0.001,512,32,max,0.588888889
fast_text,0.001,512,32,avg,0.738888889
fast_text,0.001,512,64,max,0.597222222
fast_text,0.001,512,64,avg,0.691666667
fast_text,0.001,512,128,max,0.516666667
fast_text,0.001,512,128,avg,0.658333333
fast_text,0.0001,128,32,max,0.1
fast_text,0.0001,128,32,avg,0.241666667
fast_text,0.0001,128,64,max,0.066666667
fast_text,0.0001,128,64,avg,0.197222222
fast_text,0.0001,128,128,max,0.058333333
fast_text,0.0001,128,128,avg,0.119444444
fast_text,0.0001,256,32,max,0.163888889
fast_text,0.0001,256,32,avg,0.358333333
fast_text,0.0001,256,64,max,0.105555556
fast_text,0.0001,256,64,avg,0.344444444
fast_text,0.0001,256,128,max,0.125
fast_text,0.0001,256,128,avg,0.186111111
fast_text,0.0001,512,32,max,0.225
fast_text,0.0001,512,32,avg,0.516666667
fast_text,0.0001,512,64,max,0.180555556
fast_text,0.0001,512,64,avg,0.488888889
fast_text,0.0001,512,128,max,0.113888889
fast_text,0.0001,512,128,avg,0.397222222
fast_text,1.00E-05,128,32,max,0.055555556
fast_text,1.00E-05,128,32,avg,0.069444444
fast_text,1.00E-05,128,64,max,0.058333333
fast_text,1.00E-05,128,64,avg,0.055555556
fast_text,1.00E-05,128,128,max,0.047222222
fast_text,1.00E-05,128,128,avg,0.066666667
fast_text,1.00E-05,256,32,max,0.036111111
fast_text,1.00E-05,256,32,avg,0.105555556
fast_text,1.00E-05,256,64,max,0.05
fast_text,1.00E-05,256,64,avg,0.063888889
fast_text,1.00E-05,256,128,max,0.030555556
fast_text,1.00E-05,256,128,avg,0.069444444
fast_text,1.00E-05,512,32,max,0.066666667
fast_text,1.00E-05,512,32,avg,0.102777778
fast_text,1.00E-05,512,64,max,0.061111111
fast_text,1.00E-05,512,64,avg,0.105555556
fast_text,1.00E-05,512,128,max,0.044444444
fast_text,1.00E-05,512,128,avg,0.066666667
cnn,0.001,128,32,max,0.658333333
cnn,0.001,128,32,avg,0.655555556
cnn,0.001,128,64,max,0.644444444
cnn,0.001,128,64,avg,0.613888889
cnn,0.001,128,128,max,0.641666667
cnn,0.001,128,128,avg,0.591666667
cnn,0.001,256,32,max,0.711111111
cnn,0.001,256,32,avg,0.636111111
cnn,0.001,256,64,max,0.716666667
cnn,0.001,256,64,avg,0.638888889
cnn,0.001,256,128,max,0.708333333
cnn,0.001,256,128,avg,0.658333333
cnn,0.001,512,32,max,0.75
cnn,0.001,512,32,avg,0.663888889
cnn,0.001,512,64,max,0.725
cnn,0.001,512,64,avg,0.691666667
cnn,0.001,512,128,max,0.722222222
cnn,0.001,512,128,avg,0.697222222
cnn,0.0001,128,32,max,0.433333333
cnn,0.0001,128,32,avg,0.436111111
cnn,0.0001,128,64,max,0.4
cnn,0.0001,128,64,avg,0.383333333
cnn,0.0001,128,128,max,0.341666667
cnn,0.0001,128,128,avg,0.386111111
cnn,0.0001,256,32,max,0.666666667
cnn,0.0001,256,32,avg,0.622222222
cnn,0.0001,256,64,max,0.575
cnn,0.0001,256,64,avg,0.516666667
cnn,0.0001,256,128,max,0.55
cnn,0.0001,256,128,avg,0.475
cnn,0.0001,512,32,max,0.708333333
cnn,0.0001,512,32,avg,0.677777778
cnn,0.0001,512,64,max,0.686111111
cnn,0.0001,512,64,avg,0.661111111
cnn,0.0001,512,128,max,0.658333333
cnn,0.0001,512,128,avg,0.594444444
cnn,1.00E-05,128,32,max,0.091666667
cnn,1.00E-05,128,32,avg,0.205555556
cnn,1.00E-05,128,64,max,0.061111111
cnn,1.00E-05,128,64,avg,0.111111111
cnn,1.00E-05,128,128,max,0.058333333
cnn,1.00E-05,128,128,avg,0.1
cnn,1.00E-05,256,32,max,0.236111111
cnn,1.00E-05,256,32,avg,0.358333333
cnn,1.00E-05,256,64,max,0.166666667
cnn,1.00E-05,256,64,avg,0.255555556
cnn,1.00E-05,256,128,max,0.083333333
cnn,1.00E-05,256,128,avg,0.219444444
cnn,1.00E-05,512,32,max,0.461111111
cnn,1.00E-05,512,32,avg,0.486111111
cnn,1.00E-05,512,64,max,0.352777778
cnn,1.00E-05,512,64,avg,0.444444444
cnn,1.00E-05,512,128,max,0.275
cnn,1.00E-05,512,128,avg,0.411111111
